,SAMPLE_001,SAMPLE_002,SAMPLE_003,SAMPLE_004,SAMPLE_005,SAMPLE_006,SAMPLE_007,SAMPLE_008,SAMPLE_009,SAMPLE_010,SAMPLE_011,SAMPLE_012,SAMPLE_013,SAMPLE_014,SAMPLE_015,SAMPLE_016,SAMPLE_017,SAMPLE_018,SAMPLE_019,SAMPLE_020,SAMPLE_021,SAMPLE_022,SAMPLE_023,SAMPLE_024,SAMPLE_025,SAMPLE_026,SAMPLE_027,SAMPLE_028,SAMPLE_029,SAMPLE_030,SAMPLE_031,SAMPLE_032,SAMPLE_033,SAMPLE_034,SAMPLE_035,SAMPLE_036,SAMPLE_037,SAMPLE_038,SAMPLE_039,SAMPLE_040,SAMPLE_041,SAMPLE_042,SAMPLE_043,SAMPLE_044,SAMPLE_045,SAMPLE_046,SAMPLE_047,SAMPLE_048,SAMPLE_049,SAMPLE_050,SAMPLE_051,SAMPLE_052,SAMPLE_053,SAMPLE_054,SAMPLE_055,SAMPLE_056,SAMPLE_057,SAMPLE_058,SAMPLE_059,SAMPLE_060,SAMPLE_061,SAMPLE_062,SAMPLE_063,SAMPLE_064,SAMPLE_065,SAMPLE_066,SAMPLE_067,SAMPLE_068,SAMPLE_069,SAMPLE_070,SAMPLE_071,SAMPLE_072,SAMPLE_073,SAMPLE_074,SAMPLE_075,SAMPLE_076,SAMPLE_077,SAMPLE_078,SAMPLE_079,SAMPLE_080,SAMPLE_081,SAMPLE_082,SAMPLE_083,SAMPLE_084,SAMPLE_085,SAMPLE_086,SAMPLE_087,SAMPLE_088,SAMPLE_089,SAMPLE_090,SAMPLE_091,SAMPLE_092,SAMPLE_093,SAMPLE_094,SAMPLE_095,SAMPLE_096,SAMPLE_097,SAMPLE_098,SAMPLE_099,SAMPLE_100
GENE_0001,3.7161711058172537,2.8943125862526955,3.9185159859302106,5.124615390443322,2.7753708864430235,2.7753911127640603,5.203409198922453,4.080465654047671,2.490725388689283,3.777385318395866,2.497912585081877,2.4951680584465707,3.3801450567754148,1.063910846063963,1.2120331576101062,2.3815746197682888,1.8811266067377423,3.4747352058314207,1.9928252760136185,1.4853430186438803,5.04427222122709,2.785697538580906,3.1546575333967333,1.4738274723204787,2.40248452417145,3.210366191787107,1.738691490211737,3.5556346057680566,2.337029048025717,2.7047844987498126,2.335793421164083,5.587972311601704,3.051371123885436,1.8342452514799128,4.155393100837835,1.668860094023965,3.3370492600740085,1.0293851540014878,1.5645173965040247,3.3214563316194505,4.041177719673502,3.288399323052718,2.9225948219571296,2.6932994151244687,1.424661756801153,2.200755461563899,2.5012127848235615,4.4767879638923525,3.513347595902137,1.1810327043240978,3.4876556686935887,2.5915535810073,2.249433622914896,3.8700555211947365,4.440814715736752,4.303899040343465,2.067786799453956,2.6834159492586234,3.4970930825326216,4.364593792129791,2.479231162750513,2.835323975158463,1.7841148172070462,1.6933193551903627,4.141753613528155,4.891474968251616,2.977403650661325,4.4030374297503,3.537083896508269,2.2857859171542594,3.5367669273944373,5.1456494193099935,3.0230816695539375,5.1829648680001,0.621132021242244,4.154518328222661,3.1796824081089214,2.695856617160467,3.185733911711977,1.0089950002475196,2.793230528327992,3.5311212771477725,5.061406201807758,2.433106633214866,2.10166237473238,2.4525483793058998,4.2821604680960235,3.493789947167614,2.4196139087134694,3.738249167924796,3.192563397847,4.355123824069681,2.2208781321754225,2.6609745575113664,2.583103989344903,1.4382852788334815,3.4509552437939357,3.4050675505748065,3.0750082513010932,2.774836523307209
GENE_0002,1.4825001517110465,2.548886332265887,2.6427139814055307,2.1085461096244713,2.8656116264081386,3.5931051630611948,5.635890497292262,3.292556455826715,3.400489165564441,2.9743362148718617,1.0597837390094207,3.034870341693422,3.1453149000722043,6.455629149610874,2.8270137146876944,3.4580706303738062,3.0244915625445357,1.7208704950251195,4.5950964382357,4.059433056357949,4.112519127710321,1.9913527744830541,4.956425930956754,1.4950550492192436,3.8367263398857046,6.0672273830817725,1.9046300941430498,2.376901159778971,3.1958709365966755,2.4505222282480728,1.360236191863411,3.1559828303180577,1.8294805162288748,3.685378940898795,1.980528230382352,5.1623322695468765,2.1296740998778376,2.6677800161157488,4.143102905129284,1.6589656414385865,3.3612453279656487,4.823086501455993,1.3107488397071343,3.305590310406244,3.4035357877277863,4.100004648411671,1.6529712021784781,1.5719081271857478,3.7498293239352267,3.4520883114853635,3.3912745988833692,3.517073227736263,2.2458998878884926,3.367489719182964,3.446960837019009,2.2069598339631677,5.607041256315378,3.6856989291671938,1.6982094769309133,3.930463274855626,1.9214297865846055,4.107154149251323,4.616917310583393,2.088193997446599,4.347894818831648,3.6046604980021857,4.154733006433799,5.650887124811847,2.761541345787066,2.162637622085872,2.0128661729374318,2.0935729218914205,2.970992813421219,3.5101014085319573,3.4255104486935375,4.161710102425132,3.0850430394654573,5.02732721375217,2.7378756891481273,6.822567381780315,3.888868857724344,2.0481206088653985,1.8205866966058093,3.697198306678292,2.7885516882297208,4.008049423442863,3.6849068588168366,2.97637242760052,2.059471303780613,1.3920003586711969,2.518010972083423,4.201536434985867,3.3438498435010957,1.6443363632915078,3.290746976073273,3.568337356752586,2.0190095737458145,3.2655715485721712,3.142728419045286,1.7468079781981218
GENE_0003,3.53201060657062,3.8017763561519273,4.5125362527844075,4.472213430036051,1.5176614884502129,1.960754695114165,3.740608656297935,3.7389411895887816,3.740625232892069,8.447844241336409,3.815315646543328,4.585061250805902,4.3350375916997645,3.9235052144638964,2.676041515655159,4.068977302206366,2.141294619732741,2.772088025198988,2.471907326154617,3.1730449753419814,6.243899128082754,1.098922865054796,3.970548627223132,1.3062476239465903,2.487811417337174,4.520675390086957,3.150498373245575,1.8135065407630029,2.20588364507782,3.9615518035075645,2.1888905855539122,3.346925922162334,3.1265730942802685,2.2783586828700537,6.001149426408615,3.899972972642355,0.9819774543525323,3.307951263369337,2.266704700983529,4.196127012011766,2.119370135812359,2.923736896817379,3.727202000438064,4.214304443342516,1.6892460863715562,2.6526723896430404,2.484239948936567,2.2763789279020625,5.465429826179583,3.5943368675131087,1.6295121881128345,4.285527066058517,5.970212196129082,4.442832029649551,1.387965139922121,2.4732432304467054,4.767135299038979,2.2145173773282587,3.6458105814828388,4.090240221549104,1.9724508081390588,2.9931407799278,0.36627207630326336,1.8689992785417138,2.752714973620135,1.6423310790092343,5.278128392669369,1.4688528425801106,2.5257205054492666,3.2358956674678465,5.010184267313622,1.463586638262691,4.6232397910501035,3.08151977553914,1.9141872056250193,3.670099113005987,3.3243110777954117,2.3375171734509235,3.157570041188575,2.591275233583506,3.213705660104439,3.937982945810336,5.212959763003588,1.6521204195257049,5.9856556715271845,1.0349752849696723,2.8774452311733936,3.8386855054623017,3.4311391805512583,2.3115571056941238,2.8075011883513143,2.462881233224513,2.35008931913455,4.192265536597325,3.5309933287487483,2.231249884704215,4.260543224232689,3.4656161071450207,4.142211305531002,3.8941989928996334
GENE_0004,2.07903067330271,2.3840309495306533,4.053142100434656,3.8683002674818194,3.0419816511065654,3.218610897755879,4.7820828680570955,2.3475307678795825,3.7834549299441087,2.8148369288215744,2.7956885167107672,4.534236978079751,4.159303548581549,4.143092586575426,4.820770806068005,3.095231763084985,3.964731808872193,2.682131705701544,3.4877639272178866,2.904458719065446,3.1924585712833675,3.8478657687889655,2.090910974599671,5.927959905842788,1.888294764383293,1.6754485745053025,4.616246533470873,4.113376512455389,3.88678706356456,3.892472130928638,3.0529576500056184,2.004474670805258,3.1652618931341903,2.2491605300150233,4.3640098762424175,2.8833396015660826,2.0828842259145577,2.66860145036135,3.6048598126052096,2.3798995082683825,2.0864971756484003,3.3823947912422785,3.3840636227602268,2.44643614352488,2.488870814056684,3.3672242410150783,1.4523721982373434,1.489835526435706,2.202336112164564,2.8009188341870574,3.470351002052293,5.057854673536285,4.203256620558932,2.86728868891754,3.0443717083693214,1.8919693244910967,3.045009532542345,2.708492473931744,3.485861518699009,2.080973753561061,3.746364088244226,5.138222982876967,2.931225558565656,3.5900104439005736,3.9757949984833783,2.572159910570983,3.3568605993428395,3.0845219003842965,3.193332493701347,2.141088705536766,3.099699317688865,3.717882845553635,5.023984368327105,4.342263539366972,6.014270431284233,2.14740966315782,4.223267678927339,3.303915167824953,6.066299794421761,2.1018785106277154,2.067232800069753,2.338471099186625,0.9133945560251684,2.4243139303678,2.156594642298257,3.261265970498462,3.510896335535592,5.6217338209476,4.330131930079675,2.364558493327136,2.0032180874317342,3.709780936828592,1.57212202988195,5.558567094661056,4.645776237462475,2.4910797010162913,1.2217193351446303,4.88817437998944,2.9239831502938305,4.726723604711612
GENE_0005,1.3220209196728456,2.338491496298364,3.0751738559513657,3.128372930337688,2.5137842386753744,3.885078931496503,1.8239724320200947,2.889175580055594,3.222433764296568,3.739812575492594,4.004821856966398,1.7654218827493435,1.3748586855597105,4.782099448450833,3.498474576627969,2.1685231313421567,5.164039830049113,3.2164828172728286,4.6455782616105985,3.1546450808969344,5.8830754929739095,5.451171142163297,2.7571441798999525,4.359139117013814,3.9154005032429686,4.90875344965099,1.9318047111958065,3.9702667038748394,4.478582404121966,1.184504116984844,1.7062491364362662,0.9719775160445855,2.732052234539952,4.012842054115181,5.095654368874668,3.1630703779156475,5.272793655259103,1.5153791354071868,1.2297729112148512,2.998159841484071,3.5666835470695197,3.027044205297973,0.9521709038696256,2.955877022940155,1.5872556792867354,3.9481561581142093,3.543627552758495,1.9585524338426998,2.438285070787698,1.832685726080016,2.98916312797999,4.3366015822378845,1.9097196183490988,3.7259472940716782,2.419030445408738,2.11897909421971,2.9333941861641257,1.8576433405565005,2.391653757099387,1.6916542118586986,5.74700546767959,3.1134119908784164,2.2235164606020574,3.3437017924864176,2.926754051693802,2.7916285649184434,3.873402988630544,4.066994504382433,2.4187448073702167,2.365820483507299,2.725137101527384,0.7985867144132724,1.3916933400934153,4.906302686424025,5.295779469790624,2.757055804919882,3.8229114225024428,3.4708006672252703,7.336231782195208,4.562960080182197,2.9072409857503705,1.9418057923955632,1.311641942201578,3.3300315707248647,2.159708911510372,1.476131625313797,2.284119663725509,1.8095827849136314,5.355106063398578,4.235995680916828,3.058382310333247,5.0642753750598235,3.1672666016519577,2.043608919536128,5.1247474262351576,3.7725041584731804,1.8555506824506238,2.8295204636630022,2.0279725320834365,1.5128492592288239
GENE_0006,4.296911191054438,5.668738975660899,1.4981133434404346,3.8047024500835587,2.2794557436785574,2.4698240299992227,2.346577336076071,2.0406522601473,3.130342100960341,2.0768781165050667,3.417356159161749,3.0048634466981867,2.7694660381358953,1.9933226540684474,2.3647123308174356,4.064123425138404,3.7217743180144733,1.9183796852447939,3.195460871447458,4.05869272499492,1.2580941095387677,3.7784555344782107,2.2657478430373037,3.814924520181408,2.1519787374064347,1.1476025539888577,1.2935452262352354,3.129784063881591,3.40332638960268,1.99683201380498,3.906264649580468,1.2647247377298068,2.9848757679120244,1.6785940989436914,2.27808867110115,3.1289071256288774,2.044560635155657,2.592187452410029,4.406831185749174,2.364572195405927,4.173302667564664,1.7602680778056927,3.7603325379233827,5.010597121494368,0.6995296868964183,2.114513971182958,3.823602141684016,2.81378159693756,3.54962693237488,2.333157897492169,3.179095513991564,2.8725954727640945,4.629632853021841,3.39640235883929,3.5054310022661688,2.559382509379931,2.4692555717989655,2.534651213320683,3.580409716349374,2.548480657617776,3.4426402867416455,5.90385949755404,4.221634738517626,2.6629650543455328,4.675947374244546,2.563938074299335,0.9727610612901264,1.8861168209170844,1.0962125105533265,2.6320599653448853,3.0919386985570734,5.34004226617371,3.491392607918872,2.793935939007684,4.164737301361048,0.8557222594857566,3.3718693325480347,4.085122700359489,1.4246035882621018,4.5963843555941635,3.506606910713977,2.555297566326281,3.8984423583291217,6.1813253622035,3.3020018334002694,3.3883091699071946,2.5027309069328365,2.0561272244338373,4.166004553467077,2.0492952646554983,3.159830173343508,2.481027230194334,3.6925486591489776,3.500247482595308,4.449817430426611,2.4428168664576293,2.7314785725745185,1.9170976687537196,2.520657129746541,3.5577500187709403
GENE_0007,4.066290303823327,1.977576772488667,4.219561126015619,4.890635498764917,3.605526451797837,5.622617160926247,2.140219248320816,1.6454002275889885,1.1684317894562706,5.086814173944088,3.927513964785481,2.998113178178372,3.4297998788770974,1.7645595017632603,6.430686215951364,3.2339364732018083,3.2084003466336544,4.023975131019825,3.6952502333027173,3.3565892160729183,2.1216434007061307,3.6825529800486376,5.6300078433745515,4.876393712785131,5.223025698797092,2.44140505453355,1.905615164833727,2.909905517917907,3.1395512209526166,4.5279078660320895,1.2388289866921376,5.133753638763151,2.8696926086618193,2.54143137693486,1.881890523312384,1.2703449306974184,4.156245114378382,3.1620748322792367,1.6012547463899895,1.596308933427977,2.651115360743299,5.329608635204732,2.7440904900846412,1.4024752779024494,2.761104790264492,2.7279884165985075,0.5831664400710665,2.999741200234515,2.7793373557481043,3.9839868458786665,5.5832793528212665,4.572619464496462,2.732687271850289,1.783919343135901,6.612780414746156,3.144020267519195,3.086223388620277,3.0378965762508843,3.3230450270465743,2.8867037948889505,2.3683282813198914,2.399588460739898,3.026970133692907,2.403605264235434,2.208661812598495,3.204586705102323,2.7497556271905137,5.097945557739937,0.6055320129756986,4.524202818226837,4.738204323066999,0.9480312371180255,2.6427466028928803,2.607987385411942,1.4897910079106587,2.135728934856013,1.7797756764744075,5.446842896696679,4.309923820195548,4.773589603190032,4.0184317436582075,1.7609342448810597,2.425763605388904,3.7063907396356752,1.6675903623701689,4.006693644845163,2.7677705366471477,2.60391212797919,4.003935894962458,3.646399818513691,2.6206312550505975,4.617933418546964,1.8100825846512325,3.8757809971032904,3.8451061006101126,2.683009034663299,3.4903485376076424,1.6390672222815326,4.2939666369589,2.8362629252224822
GENE_0008,2.427874272317649,4.465611084496985,2.2182830169172685,1.4889089741997579,1.3549880396445944,3.8624412825269356,1.6104880941368054,5.450400509758601,0.9421105846665733,5.368217550121084,3.3398494408495947,2.94633904973327,2.401857105580678,3.5866035618262826,3.0207935664991257,4.540484081568326,3.214619988443647,3.2611470535864857,2.6174352074607294,2.9963956358326844,3.466275122733309,1.2241653079676438,1.5454840376456873,4.047679603272648,3.2877481412546885,2.837402939440986,3.0919585063110953,3.5185657504265953,2.407895042593374,2.135185092675674,3.3201372712294748,1.9175123538887346,3.598665860180928,1.2304341015194837,4.438277146525804,3.6840551598571842,3.3985032225176535,4.3744043382616065,5.324618754232894,4.417936960421693,1.119346481123821,1.6113152201280374,2.309116314725603,3.1017141712358476,3.7441110958611894,2.194099825285545,3.3083565236129484,2.160792803050463,2.3244537510858527,1.4905813356166857,1.97642744743558,1.5421672077448714,1.9201647225386604,4.471992647505155,1.9483651383841976,6.6970864179476575,3.711644752005938,3.3058526070065697,2.046807931027317,3.989533547028444,2.366030273468919,3.2246420488648058,6.593825238772239,2.9471592081589866,4.604018706819382,2.2196053025233775,3.024141407734133,5.472968926487733,2.306642699690996,5.531728532542446,3.9995965915391287,2.3813656500678295,3.8979388081541795,4.360488900023383,3.8836801686956157,1.3430735388589041,2.1925291545998333,2.7589213337942566,2.974351937113937,3.8821498503653844,3.2966030599578757,1.5576899673601061,3.5615755265403943,3.8685898547054673,3.80044508788944,4.509404256969669,4.170890806870886,3.6662133155138705,2.979726978095715,1.2651957332508326,3.6269701264208303,3.3355207514450957,3.4188234451582673,1.6140614470162844,1.810089584119424,4.471319044391756,3.018364600677702,3.9641211144231465,3.104553565987612,3.1063868171410935
GENE_0009,4.313493359473138,2.435723361434554,3.191334113613385,2.499269088213334,2.5323381378207945,2.683464981137448,3.3543108438268914,2.479735095442543,4.751636197362429,2.007342758020121,2.8338197248851706,2.5260941745378704,5.018159585112504,3.321058437523113,4.441977706727407,1.418298397091139,3.4129022492962946,4.246914812840554,3.1735707189031763,4.488306831564326,2.434260862109392,4.9655765594699455,6.221463974362526,2.6183695263146674,2.519216705656433,5.027118005045464,5.203913535573748,2.4277133483002284,2.549434798683283,2.716896793146729,1.5490286999752252,1.9813601586091094,1.8902713129805484,2.1469070121442115,3.0245255793189396,3.3700450153892247,5.163126162278936,1.8963724924272916,4.376644581902493,2.80024950471226,3.005841533758813,3.955101711373508,1.7673777186770199,3.5644966200578794,3.2820344481628916,3.7104899297726233,3.4418461665084497,6.444302365384896,2.294255700572942,2.418163309803171,2.3110490558620946,2.389519663670113,2.294660995392235,4.65904270824619,4.98116006075344,2.371721053737812,2.0753313350808558,3.6824827375589884,2.3933195276098305,3.8986441868415747,3.3293292044069647,1.3911995938943291,5.158925648763374,5.508342788481754,2.3229864934329636,2.588402377515055,3.437519786110264,3.5012926881942974,3.93314701259919,5.811423540779078,2.8461379425842237,2.112958655822796,1.5161129941429692,2.188256067580926,3.026497149788638,5.506480564834247,2.433881277291461,3.356464144459807,3.047660077910542,4.658179138376199,6.5465002232252925,2.4183136403688774,2.467088760388351,4.458933711046353,3.9646487906350987,5.58010280742423,3.8327969616587514,2.622654010004971,3.841822524019156,4.547943074265496,4.152584372891107,3.7302522378975334,4.489953139335509,4.631728269746871,4.9276239485097495,3.9198920835663715,2.8583546807038127,3.2565113483913217,4.683288424031995,2.0923299033848966
GENE_0010,3.5463647542509324,2.58162496779154,3.1050972842242794,4.783176971948184,3.313977017115077,3.127677818598928,1.5344370352825352,4.051732072557372,3.915546300441553,6.028577934934653,2.6851630818466936,3.3504280772792487,3.3898269953905817,5.200939679855181,2.9481190187382764,3.4285603498870145,3.8649760492335083,3.3081520546769223,2.5181078314628578,3.317858708831139,4.499544864143493,1.866770699444983,3.2387705628215007,2.2230682857438877,4.667398955875271,1.3845650636582878,2.385499739784046,3.557633027417312,5.184200029937553,2.9852911447253296,2.389843723306827,5.628781691494243,1.4524366882510733,0.8637077093603904,3.640760486303886,2.4521979733573587,1.8723061349487777,4.000414210091719,3.3825428384330514,2.3794868372312687,1.6106093306167981,4.2234543257400246,3.9219015147087104,2.943247499293617,5.580003464176488,1.821422196478696,1.382484621662138,2.2323871762506746,3.010740578354179,3.3819411961797647,2.766649714690157,3.524457891546935,1.6386501338898392,5.013667080726709,2.964639118336835,4.559811321022715,3.5121722143694143,3.6629881953912173,3.8138103391680533,3.650973955061528,3.9118267561797158,4.853729972792234,3.3210148045795482,4.001289748934054,2.955103324835672,5.008568188680729,2.250037134681437,5.515486736700705,3.0176023085994523,1.468268936804254,3.2324966522793286,2.244730804215206,4.1800510773162065,2.2771864317460526,2.5184057642147075,1.081878737513287,2.511117962098762,0.7263977839572622,1.3311509503752048,4.0709384615551665,4.10540867775969,3.6214543550820237,1.9296200891422817,3.0080551498083197,3.063931653541361,1.7312519225129184,5.0971126644405755,4.2301527564928145,2.7916352620668397,3.1027272833959114,3.3364242855413933,0.9702087439932912,2.759340935178069,2.24366934458485,1.8929278806109338,2.7177339326730863,5.510895130913464,3.909294984445341,2.371217440524761,3.8175837850124394
