gene_id,sample_id,mutation_type
Gene_0000,Patient_110,missense
Gene_0000,Patient_064,missense
Gene_0000,Patient_032,nonsense
Gene_0000,Patient_106,nonsense
Gene_0000,Patient_099,nonsense
Gene_0000,Patient_075,frameshift
Gene_0000,Patient_107,missense
Gene_0000,Patient_082,nonsense
Gene_0000,Patient_017,missense
Gene_0000,Patient_135,missense
Gene_0000,Patient_091,nonsense
Gene_0000,Patient_087,nonsense
Gene_0000,Patient_029,missense
Gene_0000,Patient_108,missense
Gene_0000,Patient_113,frameshift
Gene_0000,Patient_192,frameshift
Gene_0000,Patient_005,nonsense
Gene_0000,Patient_065,nonsense
Gene_0000,Patient_077,nonsense
Gene_0000,Patient_093,frameshift
Gene_0000,Patient_143,frameshift
Gene_0000,Patient_090,missense
Gene_0000,Patient_066,nonsense
Gene_0000,Patient_112,frameshift
Gene_0000,Patient_196,nonsense
Gene_0000,Patient_194,frameshift
Gene_0000,Patient_177,frameshift
Gene_0000,Patient_116,nonsense
Gene_0000,Patient_154,nonsense
Gene_0000,Patient_061,nonsense
Gene_0000,Patient_136,frameshift
Gene_0000,Patient_111,frameshift
Gene_0000,Patient_118,nonsense
Gene_0000,Patient_009,missense
Gene_0000,Patient_070,missense
Gene_0000,Patient_043,nonsense
Gene_0000,Patient_134,missense
Gene_0000,Patient_141,missense
Gene_0000,Patient_011,frameshift
Gene_0000,Patient_081,nonsense
Gene_0001,Patient_144,frameshift
Gene_0001,Patient_042,frameshift
Gene_0001,Patient_187,nonsense
Gene_0001,Patient_004,nonsense
Gene_0001,Patient_131,frameshift
Gene_0001,Patient_013,nonsense
Gene_0001,Patient_000,frameshift
Gene_0001,Patient_114,frameshift
Gene_0001,Patient_094,missense
Gene_0001,Patient_165,frameshift
Gene_0002,Patient_165,missense
Gene_0002,Patient_170,missense
Gene_0002,Patient_052,frameshift
Gene_0002,Patient_123,frameshift
Gene_0002,Patient_038,missense
Gene_0002,Patient_045,nonsense
Gene_0002,Patient_081,nonsense
Gene_0002,Patient_178,missense
Gene_0002,Patient_129,frameshift
Gene_0002,Patient_064,frameshift
Gene_0003,Patient_013,missense
Gene_0003,Patient_184,frameshift
Gene_0003,Patient_089,missense
Gene_0003,Patient_073,frameshift
Gene_0003,Patient_153,nonsense
Gene_0003,Patient_139,nonsense
Gene_0003,Patient_129,nonsense
Gene_0003,Patient_018,nonsense
Gene_0003,Patient_001,missense
Gene_0003,Patient_041,nonsense
Gene_0004,Patient_018,missense
Gene_0004,Patient_026,missense
Gene_0004,Patient_113,frameshift
Gene_0004,Patient_177,nonsense
Gene_0004,Patient_035,frameshift
Gene_0004,Patient_042,nonsense
Gene_0004,Patient_078,missense
Gene_0004,Patient_167,nonsense
Gene_0004,Patient_138,nonsense
Gene_0004,Patient_119,missense
Gene_0005,Patient_026,nonsense
Gene_0005,Patient_191,nonsense
Gene_0005,Patient_144,nonsense
Gene_0005,Patient_184,frameshift
Gene_0005,Patient_099,nonsense
Gene_0005,Patient_051,nonsense
Gene_0005,Patient_069,missense
Gene_0005,Patient_093,nonsense
Gene_0005,Patient_060,frameshift
Gene_0005,Patient_185,frameshift
Gene_0006,Patient_032,frameshift
Gene_0006,Patient_005,nonsense
Gene_0006,Patient_008,missense
Gene_0006,Patient_107,missense
Gene_0006,Patient_161,nonsense
Gene_0006,Patient_171,nonsense
Gene_0006,Patient_113,missense
Gene_0006,Patient_061,missense
Gene_0006,Patient_187,frameshift
Gene_0006,Patient_074,nonsense
Gene_0007,Patient_192,nonsense
Gene_0007,Patient_125,frameshift
Gene_0007,Patient_025,frameshift
Gene_0007,Patient_100,frameshift
Gene_0007,Patient_111,nonsense
Gene_0007,Patient_138,missense
Gene_0007,Patient_112,nonsense
Gene_0007,Patient_103,nonsense
Gene_0007,Patient_022,nonsense
Gene_0007,Patient_124,missense
Gene_0008,Patient_016,nonsense
Gene_0008,Patient_145,missense
Gene_0008,Patient_100,frameshift
Gene_0008,Patient_148,missense
Gene_0008,Patient_057,nonsense
Gene_0008,Patient_147,nonsense
Gene_0008,Patient_063,nonsense
Gene_0008,Patient_157,frameshift
Gene_0008,Patient_102,nonsense
Gene_0008,Patient_124,frameshift
Gene_0009,Patient_037,missense
Gene_0009,Patient_114,frameshift
Gene_0009,Patient_090,missense
Gene_0009,Patient_198,nonsense
Gene_0009,Patient_113,missense
Gene_0009,Patient_059,missense
Gene_0009,Patient_049,frameshift
Gene_0009,Patient_013,nonsense
Gene_0009,Patient_134,nonsense
Gene_0009,Patient_021,nonsense
Gene_0010,Patient_098,frameshift
Gene_0010,Patient_193,frameshift
Gene_0010,Patient_071,nonsense
Gene_0010,Patient_141,nonsense
Gene_0010,Patient_053,missense
Gene_0010,Patient_056,frameshift
Gene_0010,Patient_195,frameshift
Gene_0010,Patient_124,frameshift
Gene_0010,Patient_021,missense
Gene_0010,Patient_121,nonsense
Gene_0011,Patient_151,missense
Gene_0011,Patient_027,frameshift
Gene_0011,Patient_090,nonsense
Gene_0011,Patient_080,missense
Gene_0011,Patient_182,missense
Gene_0011,Patient_011,frameshift
Gene_0011,Patient_006,missense
Gene_0011,Patient_069,frameshift
Gene_0011,Patient_174,frameshift
Gene_0011,Patient_021,missense
Gene_0012,Patient_008,missense
Gene_0012,Patient_125,nonsense
Gene_0012,Patient_133,nonsense
Gene_0012,Patient_114,missense
Gene_0012,Patient_000,missense
Gene_0012,Patient_092,frameshift
Gene_0012,Patient_075,missense
Gene_0012,Patient_071,nonsense
Gene_0012,Patient_158,frameshift
Gene_0012,Patient_186,frameshift
Gene_0013,Patient_126,missense
Gene_0013,Patient_154,frameshift
Gene_0013,Patient_182,nonsense
Gene_0013,Patient_123,frameshift
Gene_0013,Patient_012,frameshift
Gene_0013,Patient_106,missense
Gene_0013,Patient_075,nonsense
Gene_0013,Patient_146,missense
Gene_0013,Patient_117,frameshift
Gene_0013,Patient_110,missense
Gene_0014,Patient_095,missense
Gene_0014,Patient_145,nonsense
Gene_0014,Patient_062,nonsense
Gene_0014,Patient_031,missense
Gene_0014,Patient_058,frameshift
Gene_0014,Patient_171,nonsense
Gene_0014,Patient_030,frameshift
Gene_0014,Patient_090,frameshift
Gene_0014,Patient_079,missense
Gene_0014,Patient_177,missense
Gene_0015,Patient_020,nonsense
Gene_0015,Patient_073,missense
Gene_0015,Patient_041,frameshift
Gene_0015,Patient_035,frameshift
Gene_0015,Patient_162,nonsense
Gene_0015,Patient_008,nonsense
Gene_0015,Patient_009,frameshift
Gene_0015,Patient_158,nonsense
Gene_0015,Patient_038,frameshift
Gene_0015,Patient_122,missense
Gene_0016,Patient_162,nonsense
Gene_0016,Patient_103,frameshift
Gene_0016,Patient_171,nonsense
Gene_0016,Patient_007,missense
Gene_0016,Patient_018,missense
Gene_0016,Patient_008,nonsense
Gene_0016,Patient_022,nonsense
Gene_0016,Patient_102,missense
Gene_0016,Patient_146,nonsense
Gene_0016,Patient_020,missense
Gene_0016,Patient_099,missense
Gene_0016,Patient_142,missense
Gene_0016,Patient_092,nonsense
Gene_0016,Patient_016,missense
Gene_0016,Patient_166,frameshift
Gene_0016,Patient_047,missense
Gene_0016,Patient_187,missense
Gene_0016,Patient_159,missense
Gene_0016,Patient_046,nonsense
Gene_0016,Patient_150,nonsense
Gene_0016,Patient_124,missense
Gene_0016,Patient_106,nonsense
Gene_0016,Patient_048,frameshift
Gene_0016,Patient_145,frameshift
Gene_0016,Patient_177,nonsense
Gene_0016,Patient_182,frameshift
Gene_0016,Patient_014,missense
Gene_0016,Patient_086,missense
Gene_0016,Patient_183,missense
Gene_0016,Patient_043,frameshift
Gene_0016,Patient_180,frameshift
Gene_0016,Patient_089,frameshift
Gene_0016,Patient_055,nonsense
Gene_0016,Patient_131,nonsense
Gene_0016,Patient_126,missense
Gene_0016,Patient_077,nonsense
Gene_0016,Patient_064,nonsense
Gene_0016,Patient_112,nonsense
Gene_0016,Patient_062,nonsense
Gene_0016,Patient_051,nonsense
Gene_0017,Patient_015,frameshift
Gene_0017,Patient_024,nonsense
Gene_0017,Patient_038,nonsense
Gene_0017,Patient_125,missense
Gene_0017,Patient_054,nonsense
Gene_0017,Patient_183,nonsense
Gene_0017,Patient_033,nonsense
Gene_0017,Patient_089,missense
Gene_0017,Patient_103,frameshift
Gene_0017,Patient_009,missense
Gene_0018,Patient_104,missense
Gene_0018,Patient_135,missense
Gene_0018,Patient_126,missense
Gene_0018,Patient_010,nonsense
Gene_0018,Patient_046,missense
Gene_0018,Patient_122,missense
Gene_0018,Patient_151,missense
Gene_0018,Patient_087,frameshift
Gene_0018,Patient_163,nonsense
Gene_0018,Patient_093,missense
Gene_0019,Patient_192,missense
Gene_0019,Patient_137,frameshift
Gene_0019,Patient_135,missense
Gene_0019,Patient_105,frameshift
Gene_0019,Patient_124,frameshift
Gene_0019,Patient_128,frameshift
Gene_0019,Patient_073,missense
Gene_0019,Patient_072,frameshift
Gene_0019,Patient_059,frameshift
Gene_0019,Patient_145,frameshift
Gene_0020,Patient_138,nonsense
Gene_0020,Patient_163,frameshift
Gene_0020,Patient_005,missense
Gene_0020,Patient_030,missense
Gene_0020,Patient_114,frameshift
Gene_0020,Patient_032,missense
Gene_0020,Patient_017,frameshift
Gene_0020,Patient_136,missense
Gene_0020,Patient_060,missense
Gene_0020,Patient_100,frameshift
Gene_0021,Patient_155,nonsense
Gene_0021,Patient_078,missense
Gene_0021,Patient_011,frameshift
Gene_0021,Patient_090,frameshift
Gene_0021,Patient_048,frameshift
Gene_0021,Patient_144,frameshift
Gene_0021,Patient_120,missense
Gene_0021,Patient_022,frameshift
Gene_0021,Patient_008,missense
Gene_0021,Patient_017,nonsense
Gene_0022,Patient_081,missense
Gene_0022,Patient_179,missense
Gene_0022,Patient_018,missense
Gene_0022,Patient_122,frameshift
Gene_0022,Patient_072,missense
Gene_0022,Patient_152,nonsense
Gene_0022,Patient_086,missense
Gene_0022,Patient_023,frameshift
Gene_0022,Patient_198,missense
Gene_0022,Patient_044,nonsense
Gene_0023,Patient_150,nonsense
Gene_0023,Patient_135,frameshift
Gene_0023,Patient_092,frameshift
Gene_0023,Patient_037,missense
Gene_0023,Patient_161,nonsense
Gene_0023,Patient_103,missense
Gene_0023,Patient_117,frameshift
Gene_0023,Patient_099,frameshift
Gene_0023,Patient_120,frameshift
Gene_0023,Patient_151,frameshift
Gene_0023,Patient_181,frameshift
Gene_0023,Patient_090,nonsense
Gene_0023,Patient_168,nonsense
Gene_0023,Patient_009,missense
Gene_0023,Patient_082,frameshift
