,TP53,MYC,RAS,EGFR,PIK3CA,TNF,IL6,VEGFA,COL1A1,MMP1
TP53,1.0,0.3432833692747814,0.5617238690847199,-0.3484527911502717,-0.4158997167019862,-0.4841144555283279,-0.46204291722553265,0.23295920129774372,0.49728063346774065,-0.7545950768736056
MYC,0.25015927101077784,1.0,0.7436573975540797,-0.20390545215114997,-0.1898738678371069,0.5146227851016403,-0.18013504444057382,0.155913404754069,-0.6320617953852127,0.29603157985283035
RAS,0.22978843266661597,0.23392666660531836,1.0,0.41623658676863373,-0.5168977463025529,-0.09136932160101918,0.08289614648126875,-0.03411932320245048,-0.4888500335575374,0.6420819744797577
EGFR,-0.0478067205546322,0.2900187359077273,0.7798432907317361,1.0,0.5810679041654232,0.6842798298967394,-0.29175597936136577,0.0401230619827494,-0.1306765824215692,-0.5084064140573858
PIK3CA,-0.5992007299321136,-0.249662695263137,-0.45335451691316353,-0.5746169081088776,1.0,-0.3108929011951791,-0.07974135633808233,-0.7457709285105916,-0.5137358966472402,0.7967386476020895
TNF,0.26641274247559155,0.06845705044680306,-0.44324524886368,-0.5076406607081042,-0.4663378213028745,1.0,-0.5092767538295497,0.7350886565962282,-0.29297035810355243,0.0029992323087746353
IL6,-0.02956762043384753,0.6292556389135135,-0.24169333262715365,-0.11126042678960535,0.5803893455159153,0.23158441042486477,1.0,-0.7586920977909941,-0.6812336560707339,0.3093684310734015
VEGFA,0.7637708759201476,0.547435514242177,0.10247689182303432,-0.44620652675284467,0.49601764090939526,-0.094051000032643,0.10113515436753162,1.0,0.11029705939829115,-0.6854557184396527
COL1A1,0.1903625180188987,-0.13100028268587294,-0.1346639849136293,-0.529103440573604,-0.7769147306295419,-0.6442464934242538,-0.4679220785071332,0.34487539828351776,1.0,0.7059572274491794
MMP1,0.681506970617533,-0.6239923981057605,-0.0030247526170347205,-0.44165787301898424,0.47333565211133033,-0.35562272549474905,-0.11414378525626567,-0.643012165185824,-0.3677622238850846,1.0
